2026-04-27T12:10:28.832Z | user | fireflies | reordered-to-5 | [wt-2026-04-24-004] Check Merge1 Vet ID with Davis | priority=5
2026-04-28T04:21:53.679Z | project-pipeline | whatsapp | verify-task-created | [moi4d8r2e8w2] VERIFY: Fix the Autonomy Engine | priority=2
2026-04-28T06:26:29.751Z | user | gmail | done | [moi28wwn0tz8] AWS unpaid invoice $10.08 — account suspension risk | priority=2
2026-04-28T06:26:33.379Z | user | gmail | done | [moi28tm576a9] Regenerate GitHub PAT "brain" — expires ~May 1 | priority=1
2026-04-28T06:26:57.399Z | user | slack | done | [wt-2026-04-24-001] Deliver Q4 SKU forecast (tender) | priority=1
2026-04-28T06:45:06.017Z | user | brain | promoted-scrap | [mohjt910knq1] Identity Engine — reliable self-cultivation cadence | priority=2
2026-04-28T06:45:06.020Z | user | brain | promoted-from-brain | [moi9hen6dcn3] Identity Engine — reliable self-cultivation cadence | priority=1
2026-04-28T07:10:34.771Z | cleanup-dedup | whatsapp | done | [moi4d8r2e8w2] VERIFY: Fix the Autonomy Engine | priority=2
2026-04-28T08:17:16.126Z | user | whatsapp | done | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=1
2026-04-28T08:57:26.882Z | user-verify | whatsapp | project-verified-closed | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T08:57:28.216Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T09:01:17.897Z | user-verify | whatsapp | project-verified-closed | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T09:01:19.008Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T09:11:33.089Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T09:11:36.337Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T09:11:38.898Z | user | whatsapp | done | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=1
2026-04-28T09:36:30.134Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T09:40:36.305Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T09:53:00.752Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T10:26:17.246Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T10:47:06.845Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T11:00:14.792Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T11:00:18.801Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T11:15:32.832Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T11:43:13.636Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T11:53:45.343Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=2
2026-04-28T11:53:48.541Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=3
2026-04-28T12:52:54.415Z | user | slack | moved-to-whatsapp | [wt-2026-04-24-002] Explain payment recon data flow | priority=2
2026-04-28T12:52:54.417Z | user | whatsapp | moved-from-slack | [moimmeq8p0iz] Explain payment recon data flow | priority=6
2026-04-28T12:53:39.284Z | user | whatsapp | grouped-scrap | [moimmeq8p0iz] Explain payment recon data flow | priority=6
2026-04-28T12:53:39.285Z | user | brain | grouped-execute | [moimndcktwnc] Learn grouping: "Explain payment recon data flow" == "Share tax audit template" | priority=2
2026-04-28T12:53:46.808Z | user | brain | done | [moimndcktwnc] Learn grouping: "Explain payment recon data flow" == "Share tax audit template" | priority=2
2026-04-28T12:53:57.093Z | user | fireflies | grouped-scrap | [wt-2026-04-24-010] Confirm cost quotas to Justus | priority=8
2026-04-28T12:53:57.094Z | user | brain | grouped-execute | [moimnr395jar] Learn grouping: "Confirm cost quotas to Justus" == "Share tax audit template" | priority=2
2026-04-28T12:54:05.533Z | user | brain | done | [moimnr395jar] Learn grouping: "Confirm cost quotas to Justus" == "Share tax audit template" | priority=2
2026-04-28T12:57:25.673Z | user | whatsapp | done | [mobile-viz] Simplify Mobile View — goodhealth.lv/brain + /dashboard | priority=3
2026-04-28T13:16:18.120Z | user | whatsapp | done | [mocj93a79unn] Norde v4 testing + PBI data-64 migration | priority=4
2026-04-28T13:16:37.672Z | user | whatsapp | moved-to-slack | [mohjhr73ef0t] Share tax audit template | priority=5
2026-04-28T13:16:37.673Z | user | slack | moved-from-whatsapp | [moingwx56wj7] Share tax audit template | priority=3
2026-04-28T13:16:45.022Z | user | fireflies | moved-to-gmail | [wt-2026-04-24-009] Add Justus+Mayuri to Merge1 meetings | priority=7
2026-04-28T13:16:45.023Z | user | gmail | moved-from-fireflies | [moinh2lb7aqj] Add Justus+Mayuri to Merge1 meetings | priority=1
2026-04-28T13:16:47.638Z | user | gmail | moved-to-fireflies | [moinh2lb7aqj] Add Justus+Mayuri to Merge1 meetings | priority=1
2026-04-28T13:16:47.638Z | user | fireflies | moved-from-gmail | [moinh4lyc46p] Add Justus+Mayuri to Merge1 meetings | priority=5
2026-04-29T03:19:51.281Z | whatsapp-agent | whatsapp | created | [mojhlb74y9ci] Fill out Paula Kaņepe's master thesis survey | priority=4
2026-04-29T03:39:18.063Z | brain-solo | fireflies | patched:tags,description | [moi458ggze3n] Write GLC process documentation | priority=1
2026-04-29T03:39:26.906Z | brain-solo | fireflies | patched:tags,description | [moi45akn7vka] Prep labor cost session Wednesday | priority=2
2026-04-29T04:07:01.912Z | work-triage | fireflies | created | [mojj9zbppm90] Finish MRR tickets before handover | priority=2
2026-04-29T04:07:04.732Z | work-triage | fireflies | created | [mojja1i4m3sh] Check shop files for risk clients | priority=2
2026-04-29T04:07:07.436Z | work-triage | fireflies | created | [mojja3l8ibra] Review ETL scripts for personal matrix | priority=3
2026-04-29T15:39:49.282Z | brain | fireflies | patched:tags,description | [mojja1i4m3sh] Check shop files for risk clients | priority=2
2026-04-29T15:39:58.320Z | brain | fireflies | patched:tags,description | [mojj9zbppm90] Finish MRR tickets before handover | priority=2
2026-04-29T19:26:59.357Z | brain-handoff | brain | created | [mokg51y29wsz] Identity Engine v2 — modular HTML doc | priority=2
2026-04-30T03:21:51.236Z | whatsapp-agent | whatsapp | created | [mokx3qf5gp9m] Help Beatrise with Word document (results section + table of contents) | priority=2
2026-04-30T04:16:49.333Z | work-triage | fireflies | created | [mokz2f8t0ktl] Submit TeamOps goals to BOB | priority=2
2026-04-30T04:16:52.047Z | work-triage | fireflies | created | [mokz2hcf5mwn] Add Mayuri to forecast channel | priority=2
2026-04-30T04:16:56.920Z | work-triage | fireflies | created | [mokz2l3s101v] Revise Zmail/Lito forecasts | priority=2
2026-04-30T04:17:00.351Z | work-triage | fireflies | created | [mokz2nr2rxjt] Implement forecast deviation alerts | priority=3
2026-04-30T04:17:03.054Z | work-triage | fireflies | created | [mokz2pu5c247] Clarify US PET capacity with Mela | priority=3
2026-05-12T20:16:18.630Z | brain-auto | whatsapp | done | [mokx3qf5gp9m] Help Beatrise with Word document (results section + table of contents) | priority=2
2026-05-12T20:16:21.330Z | brain-auto | slack | done | [moi455n2s5yf] Run LucaNet stored procedures | priority=1
2026-05-12T20:57:04.295Z | Brain — Davis Lozda posted May 7 update: high DB load from multiple sources (order flagging, Livedash refreshes, ETL work). Actively managing table locking and queue. Apr 26 Amin report is covered. No action needed from Justs. | slack | done | [moi452waxjh9] Investigate live dash outage | priority=2
2026-05-12T21:04:23.666Z | brain-autonomous | fireflies | done | [mokz2f8t0ktl] Submit TeamOps goals to BOB | priority=2
2026-05-12T21:04:26.580Z | brain-autonomous | fireflies | done | [mojja1i4m3sh] Check shop files for risk clients | priority=2
2026-05-12T21:04:29.336Z | brain-autonomous | fireflies | done | [mokz2l3s101v] Revise Zmail/Lito forecasts | priority=2
2026-05-12T21:04:32.050Z | brain-autonomous | fireflies | done | [moi45akn7vka] Prep labor cost session Wednesday | priority=2
2026-05-12T21:04:34.733Z | brain-autonomous | fireflies | done | [mojj9zbppm90] Finish MRR tickets before handover | priority=2
2026-05-12T21:04:37.589Z | brain-autonomous | fireflies | done | [wt-2026-04-24-008] Document handover topics + dates | priority=4
2026-05-12T21:04:40.307Z | brain-autonomous | fireflies | done | [moi45ctwlmf9] Check Merge1 Vet ID ticket status | priority=3
2026-05-12T21:04:43.116Z | brain-autonomous | fireflies | done | [mokz2pu5c247] Clarify US PET capacity with Mela | priority=3
2026-05-12T21:16:01.166Z | brain-self | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-12T22:43:31.822Z | Kha'an | fireflies | patched:tags,description | [moi458ggze3n] Write GLC process documentation | priority=1
2026-05-12T22:43:54.900Z | Kha'an | fireflies | patched:description | [moi458ggze3n] Write GLC process documentation | priority=1
2026-05-12T23:23:18.363Z | Kha'an | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-12T23:34:07.225Z | Kha'an | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-12T23:51:23.459Z | Kha'an | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-13T00:52:52.116Z | brain-self | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-13T20:00:25.812Z | user | brain | done | [moi9hen6dcn3] Identity Engine — reliable self-cultivation cadence | priority=1
2026-05-13T20:00:47.718Z | user | whatsapp | done | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=1
2026-05-13T20:02:10.538Z | user | brain | done | [mokg51y29wsz] Identity Engine v2 — modular HTML doc | priority=2
2026-05-13T21:29:10.838Z | kha-an | slack | patched:tags,description | [moingwx56wj7] Share tax audit template | priority=3
2026-05-13T21:57:04.498Z | Kha'an | whatsapp | patched:tags,description | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-16T07:10:40.337Z | user | whatsapp | done | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-16T07:10:43.242Z | user | whatsapp | done | [mojhlb74y9ci] Fill out Paula Kaņepe's master thesis survey | priority=4
2026-05-16T07:10:47.132Z | user | fireflies | grouped-scrap | [moinh4lyc46p] Add Justus+Mayuri to Merge1 meetings | priority=5
2026-05-16T07:10:47.133Z | user | brain | grouped-execute | [mp80brrwenuz] Learn grouping: "Add Justus+Mayuri to Merge1 meetings" == "Implement forecast deviation alerts" | priority=1
2026-05-16T07:10:52.840Z | user | brain | done | [mp80brrwenuz] Learn grouping: "Add Justus+Mayuri to Merge1 meetings" == "Implement forecast deviation alerts" | priority=1
2026-05-16T07:10:55.314Z | user | fireflies | done | [mokz2nr2rxjt] Implement forecast deviation alerts | priority=3
2026-05-16T07:10:56.675Z | user | fireflies | done | [mojja3l8ibra] Review ETL scripts for personal matrix | priority=3
2026-05-16T07:10:57.861Z | user | slack | done | [moingwx56wj7] Share tax audit template | priority=3
2026-05-16T07:10:58.982Z | user | fireflies | done | [mokz2hcf5mwn] Add Mayuri to forecast channel | priority=2
2026-05-16T07:11:00.456Z | user | fireflies | done | [moi458ggze3n] Write GLC process documentation | priority=1
2026-05-16T08:52:57.438Z | user | whatsapp | scrapped | [mo9pzrnw2xae] Implement transactions in web-app | priority=2
2026-05-16T08:52:57.527Z | user | brain | scrapped | [mokg51y29wsz] Identity Engine v2 — modular HTML doc | priority=2
2026-05-16T08:52:57.612Z | user | whatsapp | scrapped | [mog6gyrdc3g7] Fix the Autonomy Engine | priority=1
2026-05-16T08:52:57.698Z | user | brain | scrapped | [moi9hen6dcn3] Identity Engine — reliable self-cultivation cadence | priority=1
2026-05-16T09:23:05.759Z | kha'an | whatsapp | created | [mp851x99d2j8] Power BI MCP Server for NORDE | priority=2
2026-05-16T09:23:09.205Z | kha'an | whatsapp | created | [mp851zx0ts4p] Anthropic Pricing Thesis — Brain Survival Analysis | priority=1
2026-05-16T09:43:12.976Z | khaan | whatsapp | done | [mp851zx0ts4p] Anthropic Pricing Thesis — Brain Survival Analysis | priority=1
2026-05-16T09:43:47.147Z | khaan | brain | created | [mp85sj4agted] Power BI MCP Server for NORDE | priority=2
2026-05-16T09:51:13.572Z | khaan | brain | created | [mp8623kz9ybc] Anthropic Pricing Impact Thesis — Full Brain Analysis | priority=1
2026-05-16T09:59:47.427Z | user | brain | moved-to-slack | [mp8623kz9ybc] Anthropic Pricing Impact Thesis — Full Brain Analysis | priority=1
2026-05-16T09:59:47.428Z | user | slack | moved-from-brain | [mp86d42rw5fx] Anthropic Pricing Impact Thesis — Full Brain Analysis | priority=1
2026-05-16T10:08:03.455Z | user | whatsapp | scrapped | [mp851x99d2j8] Power BI MCP Server for NORDE | priority=2
2026-05-16T10:08:03.489Z | user | brain | scrapped | [mp8623kz9ybc] Anthropic Pricing Impact Thesis — Full Brain Analysis | priority=1
2026-05-16T11:10:32.706Z | khaan | brain | created | [mp88w3r5pgr4] Anthropic Pricing Change Thesis - Brain Impact Report | priority=2
2026-05-16T11:10:36.009Z | khaan | brain | created | [mp88w6ax54y8] Token Cost Analysis - Current vs New Anthropic Pricing | priority=2
2026-05-16T11:29:16.602Z | khaan | brain | done | [mp88w6ax54y8] Token Cost Analysis - Current vs New Anthropic Pricing | priority=2
2026-05-16T15:31:21.117Z | user | brain | patched:tags | [mp85sj4agted] Power BI MCP Server for NORDE | priority=2
2026-05-16T15:31:29.695Z | user | brain | scrapped | [mp88w3r5pgr4] Anthropic Pricing Change Thesis - Brain Impact Report | priority=2
2026-05-16T16:19:35.920Z | user | slack | done | [mp86d42rw5fx] Anthropic Pricing Impact Thesis — Full Brain Analysis | priority=1
2026-05-16T16:41:53.085Z | user | brain | promoted-scrap | [mp85sj4agted] Power BI MCP Server for NORDE | priority=2
2026-05-16T16:41:53.088Z | user | brain | promoted-from-brain | [mp8kq7jzfyp7] Power BI MCP Server for NORDE | priority=1
2026-05-16T17:16:46.733Z | user | brain | patched:tags | [mp85sj4agted] Power BI MCP Server for NORDE | priority=2
